product_name,selling_price_inr,mrp_inr,discount_as_listed,discount_calculated,star_rating,specs,category,platform,source_url,scraped_at
"OnePlus Nord CE5 5G (Black Infinity, 128 GB)",28490,30190,5,5.63,4.5,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera7100 mAh Battery1 Year Warranty,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"Samsung M06 5G (Sage Green, 128 GB)",12283,13999,12,12.26,4.1,4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"Ai+ Pulse 1 (Purple, 64 GB)",7999,,,,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C71 (Desert Gold, 128 GB)",9999,,,,4.1,"6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C71  - Locked with Airtel Prepaid (Power Black, 64 GB)",8999,,,,3.9,"4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.48 cm (6.88 inch) HD+ Display32MP Rear Camera | 8MP Front Camera5200 mAh BatteryUnisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C75 5G (Silver Stardust, 64 GB)",10999,,,,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C85 5G (Mystic Purple, 128 GB)",12999,14499,10,10.35,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Lithium-Ion Polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"MOTOROLA g35 5G (Guava Red, 128 GB)",13999,15499,9,9.68,4.2,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 16MP Front Camera5000 mAh BatteryT760 Processor12 5G Bands with VoNR|4K Video Recording|Vision Booster Technology1 Year on Handset and 6 Months on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"vivo T4R 5G (Arctic White, 128 GB)",22999,23499,2,2.13,4.5,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP (OIS) + 2MP | 32MP Front Camera5700 mAh BatteryDimensity 7400 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"Tecno Pova 7 Pro 5G (Neon Cyan, 256 GB)",19374,23999,19,19.27,4.4,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display64MP + 8MP | 13MP Front Camera6000 mAh BatteryDimensity 7300 Ultimate Processor1 Year Manufacturer Warranty for Phone,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C85x (Elite Black, 128 GB)",12499,14499,13,13.79,4.2,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.53 cm (6.9 inch) HD+ Display32MP Rear Camera6300 mAh Lithium-Ion Polymer BatteryT8300 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",13999,15499,9,9.68,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO C85 5G (Spring Green, 128 GB)",12999,14499,10,10.35,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) HD+ Display50MP Rear Camera | 8MP Front Camera6000 mAh Lithium-Ion Polymer BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)",11499,12499,8,8.0,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"POCO X8 Pro (Black, 256 GB)",32999,43999,25,25.0,4.4,8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Full HD+ AMOLED Display50MP + 8MP | 20MP Front Camera6500 mAh Lithium-Ion Polymer With Silicon Carbon Technology BatteryDimensity 8500-Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=3,2026-04-22 16:12:03
"MOTOROLA G96 5G (Pantone Greener Pastures, 128 GB)",18999,20999,9,9.52,4.4,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5500 mAh Battery7s Gen 2 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"realme P4 5G (Steel Grey, 128 GB)",20999,21999,4,4.55,4.4,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"realme P4 5G (Steel Grey, 256 GB)",22999,23999,4,4.17,4.4,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP + 8MP | 16MP Front Camera7000 mAh BatteryMediatek Dimensity 7400 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"POCO M8 (Glacial Blue, 256 GB)",21999,24999,12,12.0,4.5,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.2 cm (6.77 inch) Full HD+ Display50MP Rear Camera | 20MP Front Camera5520 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"Samsung M06 5G (Sage Green, 128 GB)",13735,15499,11,11.38,4.1,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
"realme P4x 5G (Matte Silver, 128 GB)",17499,18999,7,7.9,4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,mobiles,Flipkart,https://www.flipkart.com/search?q=smartphones&page=4,2026-04-22 16:12:15
